id,tier,persona,scenario,urgency_intent,thread,register,context,adversarial
S001,dev,STU-UG,GRADE-QUERY,U-LOW,T1,R-ESL,C-FULL,
S002,held-out,STU-UG,GRADE-QUERY,U-MED,T2,R-TERSE,C-FULL,
S003,held-out,STU-UG,REF-REQUEST,U-MED,T3,R-TERSE,C-FULL,A-MID-THREAD-ASK
S004,held-out,STU-UG,FOLLOWUP,U-HIGH,T2,R-ESL,C-FULL,
S005,dev,STU-UG,DEADLINE-EXT,U-LOW,T1,R-SEMI,C-FULL,
S006,held-out,STU-HDR,FOLLOWUP,U-HIGH,T3,R-SEMI,C-BURIED,
S007,held-out,STU-HDR,MEET-SCHED,U-LOW,T3,R-FORMAL,C-MISSING,A-INFO-GAP
S008,held-out,STU-HDR,WELFARE,U-MED,T3,R-FORMAL,C-FULL,
S009,held-out,STU-HDR,ETHICS-ACTION,U-MED,T2,R-ESL,C-FULL,
S010,dev,STU-HDR,REF-REQUEST,U-LOW,T4,R-FORMAL,C-FULL,
S011,held-out,COL-PEER,MEET-SCHED,U-MED,T1,R-CASUAL,C-FULL,
S012,held-out,COL-PEER,ROOM-CHANGE,U-MED,T4,R-FORMAL,C-FULL,A-AMBIGUOUS
S013,held-out,COL-PEER,MEET-SCHED,U-HIGH,T1,R-SEMI,C-BURIED,A-POLITE-URGENT
S014,held-out,COL-PEER,EVENT-INVITE,U-LOW,T1,R-SEMI,C-FULL,
S015,dev,COL-PEER,MEET-SCHED,U-LOW,T1,R-SEMI,C-FULL,
S016,held-out,COL-SENIOR,FOLLOWUP,U-MED,T2,R-TERSE,C-BURIED,
S017,held-out,COL-SENIOR,WELFARE,U-MED,T3,R-ESL,C-BURIED,A-AMBIGUOUS
S018,held-out,COL-SENIOR,FOLLOWUP,U-LOW,T2,R-FORMAL,C-FULL,
S019,held-out,COL-SENIOR,MEET-SCHED,U-MED,T1,R-ESL,C-BURIED,
S020,held-out,COL-SENIOR,BUDGET-APPROVE,U-LOW,T2,R-TERSE,C-MISSING,
S021,held-out,GOV-CHAIR,FOLLOWUP,U-MED,T2,R-SEMI,C-FULL,
S022,held-out,GOV-CHAIR,BUDGET-APPROVE,U-HIGH,T1,R-CASUAL,C-BURIED,
S023,held-out,GOV-CHAIR,FOLLOWUP,U-MED,T3,R-CASUAL,C-BURIED,A-MID-THREAD-ASK
S024,held-out,GOV-CHAIR,MEET-SCHED,U-MED,T2,R-SEMI,C-BURIED,
S025,held-out,GOV-CHAIR,MEET-SCHED,U-LOW,T1,R-ESL,C-BURIED,
S026,held-out,PS-ADMIN,ROOM-CHANGE,U-HIGH,T2,R-TERSE,C-MISSING,A-REPLY-ALL
S027,held-out,PS-ADMIN,ROOM-CHANGE,U-MED,T2,R-TERSE,C-FULL,
S028,held-out,PS-ADMIN,DEADLINE-EXT,U-HIGH,T2,R-FORMAL,C-MISSING,
S029,dev,PS-ADMIN,FOLLOWUP,U-HIGH,T3,R-CASUAL,C-FULL,
S030,held-out,PS-ADMIN,BUDGET-APPROVE,U-HIGH,T1,R-TERSE,C-MISSING,A-INFO-GAP
S031,held-out,EXT-RES,FOLLOWUP,U-HIGH,T1,R-ESL,C-MISSING,
S032,held-out,EXT-RES,PAPER-REVISE,U-HIGH,T3,R-CASUAL,C-FULL,
S033,held-out,EXT-RES,EVENT-INVITE,U-LOW,T1,R-SEMI,C-FULL,A-SOCIAL
S034,held-out,EXT-RES,MEET-SCHED,U-LOW,T2,R-FORMAL,C-BURIED,
S035,held-out,EXT-RES,PAPER-REVISE,U-MED,T2,R-SEMI,C-FULL,
S036,held-out,EXT-PUB,FOLLOWUP,U-LOW,T2,R-ESL,C-FULL,A-SOCIAL
S037,held-out,EXT-PUB,FOLLOWUP,U-LOW,T3,R-FORMAL,C-FULL,
S038,held-out,EXT-PUB,FOLLOWUP,U-MED,T1,R-ESL,C-MISSING,
S039,dev,EXT-PUB,PAPER-REVISE,U-MED,T3,R-FORMAL,C-FULL,
S040,held-out,EXT-PUB,PAPER-REVISE,U-HIGH,T1,R-ESL,C-FULL,A-ESL-URGENT
S041,held-out,EXT-IND,EVENT-INVITE,U-MED,T1,R-FORMAL,C-FULL,
S042,dev,EXT-IND,EVENT-INVITE,U-MED,T1,R-ESL,C-MISSING,
S043,held-out,EXT-IND,EVENT-INVITE,U-MED,T2,R-FORMAL,C-BURIED,
S044,held-out,EXT-IND,MEET-SCHED,U-LOW,T1,R-ESL,C-MISSING,A-SOCIAL
S045,held-out,EXT-IND,BUDGET-APPROVE,U-HIGH,T2,R-FORMAL,C-FULL,
S046,held-out,SYS-AUTO,IT-OUTAGE,U-HIGH,T1,R-FORMAL,C-FULL,A-AUTO-URGENT
S047,held-out,SYS-AUTO,IT-OUTAGE,U-HIGH,T2,R-FORMAL,C-FULL,A-REPLY-ALL
S048,held-out,SYS-AUTO,IT-OUTAGE,U-MED,T4,R-SEMI,C-MISSING,A-MID-THREAD-ASK
S049,held-out,SYS-AUTO,ROOM-CHANGE,U-LOW,T1,R-FORMAL,C-FULL,
S050,held-out,SYS-AUTO,IT-OUTAGE,U-MED,T2,R-FORMAL,C-FULL,
S051,held-out,SYS-BULK,EVENT-INVITE,U-MED,T2,R-FORMAL,C-FULL,
S052,held-out,SYS-BULK,EVENT-INVITE,U-LOW,T3,R-SEMI,C-MISSING,A-MID-THREAD-ASK
S053,held-out,SYS-BULK,EVENT-INVITE,U-MED,T4,R-SEMI,C-FULL,A-REPLY-ALL
S054,held-out,SYS-BULK,EVENT-INVITE,U-LOW,T1,R-FORMAL,C-BURIED,
S055,held-out,SYS-BULK,POLICY-FYI,U-LOW,T4,R-FORMAL,C-MISSING,
S056,held-out,EXT-COLD,EVENT-INVITE,U-MED,T2,R-ESL,C-MISSING,A-REPLY-ALL
S057,held-out,EXT-COLD,EVENT-INVITE,U-MED,T1,R-ESL,C-BURIED,
S058,dev,EXT-COLD,EVENT-INVITE,U-MED,T4,R-FORMAL,C-BURIED,
S059,held-out,EXT-COLD,EVENT-INVITE,U-MED,T2,R-FORMAL,C-FULL,
S060,held-out,EXT-COLD,EVENT-INVITE,U-MED,T3,R-TERSE,C-FULL,
S061,held-out,EXT-PUB,FOLLOWUP,U-HIGH,T2,R-TERSE,C-FULL,
S062,held-out,EXT-IND,BUDGET-APPROVE,U-HIGH,T3,R-SEMI,C-BURIED,A-CONFLICT-DATE
S063,held-out,STU-HDR,MEET-SCHED,U-HIGH,T3,R-FORMAL,C-BURIED,A-BURIED-DEADLINE
S064,dev,SYS-AUTO,ETHICS-ACTION,U-HIGH,T1,R-SEMI,C-MISSING,
S065,dev,PS-ADMIN,ROOM-CHANGE,U-HIGH,T1,R-SEMI,C-FULL,
S066,held-out,GOV-CHAIR,BUDGET-APPROVE,U-HIGH,T1,R-ESL,C-FULL,
S067,held-out,GOV-CHAIR,BUDGET-APPROVE,U-HIGH,T1,R-SEMI,C-FULL,
S068,held-out,STU-HDR,WELFARE,U-HIGH,T1,R-FORMAL,C-FULL,A-POLITE-URGENT
S069,dev,GOV-CHAIR,FOLLOWUP,U-HIGH,T4,R-SEMI,C-FULL,
S070,dev,COL-SENIOR,MEET-SCHED,U-HIGH,T4,R-SEMI,C-FULL,
S071,held-out,SYS-AUTO,ROOM-CHANGE,U-HIGH,T1,R-FORMAL,C-FULL,
S072,held-out,EXT-RES,MEET-SCHED,U-HIGH,T4,R-FORMAL,C-FULL,
S073,held-out,COL-PEER,PAPER-REVISE,U-HIGH,T3,R-SEMI,C-BURIED,A-CONFLICT-DATE
S074,held-out,SYS-BULK,POLICY-FYI,U-LOW,T1,R-FORMAL,C-BURIED,
